team,component,reason,differences,description
McLaren,Rear Wing,Performance - Flow Conditioning,Endplate modification,A small revision to the rear wing endplate resulting in improved flow conditioning and aerodynamic characteristics across the full operating range.
McLaren,Floor Body,Performance – Local Load,New floor and board,"A new floor and board featuring a modified base shape and furniture, resulting in an improvement in flow conditioning and local load generated across all conditions."
McLaren,Front Corner,Performance - Flow Conditioning,Revised Front Corner Furniture,A small modification to the front corner furniture resulting in an improvement in flow conditioning around the front tyre and resultant aerodynamic performance.
McLaren,Front Corner,Circuit specific - Cooling Range,Increased Brake Cooling Exit,"To meet the increased brake cooling demands of this circuit, a larger front brake cooling exit has been designed aiming at minimising the detrimental impact on aerodynamic performance."
McLaren,Rear Corner,Performance – Local Load,Revised Rear Corner Furniture,"An update to the rear corner furniture, featuring a revised winglet arrangement aiming at an efficient increase of aerodynamic load."
Mercedes F1 Team,Rear Wing,Circuit specific - Drag Range,Additional rear wing winglet added on centreline,The new winglet increases local wing chord and camber increasing local downforce and drag at a ratio appropriate for Budapest L/D.
Mercedes F1 Team,Coke/Engine Cover,Cooling Range,Wider bodywork rear exit,The new winglet increases local wing chord and camber increasing local downforce and drag at a ratio appropriate for Budapest L/D.
Mercedes F1 Team,Tail,Performance - Local Load,Tail winglet merged into rear wing brace.,The new winglet increases local wing chord and camber increasing local downforce and drag at a ratio appropriate for Budapest L/D.
Red Bull Racing,Rear Wing,Performance - Local Load,Revised pylon profiles,"By exploiting the permitted rear wing pylon geometry, the camber of the pylons has been increased to extract a little more load and maintain, even enhance the flow stability."
Red Bull Racing,Floor,Performance - Local Load,Revised diffuser geometry,"Having observed some competitor designs, the floor diffuser geometry has gained surface area adjacent to the rear impact structure offering a local gain in load."
Red Bull Racing,Rear Wing,Performance - Local Load,Revised flap element geometry,"Following iterations of the rear wing design, a revised flap pairing has become available for the Hungarian GP offering more load from revised camber and chord geometries. This change is accompanied by a minor revised to the lower brace (wing) geometry as part of the new design."
Scuderia Ferrari,Rear Wing,Performance - Local Load,"New flaps design with additional trailing edge devices, re-shaped endplate top inboard volume, new pillars. Also, an optional winglet cascade in the SM fairing volume will be available","Part of the standard development cycle, this further iteration of rear wing has been focused on increasing load in a robust way. The additional winglet cascade is meant to increase rear downforce"
Scuderia Ferrari,Rear Wing Endplate,Performance - Local Load,"New flaps design with additional trailing edge devices, re-shaped endplate top inboard volume, new pillars. Also, an optional winglet cascade in the SM fairing volume will be available","Part of the standard development cycle, this further iteration of rear wing has been focused on increasing load in a robust way. The additional winglet cascade is meant to increase rear downforce at the expense of aerodynamic efficiency, and is optional."
Williams Racing,Rear Wing,Circuit specific - Drag Range,"A new RW assembly configuration, with a change to the rear wing flap components.","To suit the demands of the Hungaroring circuit, we have introduced an optional rear wing flap geometry which offers an increase in downforce across the rear of the car."
Williams Racing,Floor Body,Circuit specific - Drag Range,A new Floor Bodywork configuration with the introduction of new geometry on the outboard Floor Winglet.,"A further circuit specific change, which modifies the aerodynamic loading on the outboard floor body and surrounding components at the rear corner of the car."
Racing Bulls / RB,Roll Hoop,Performance – Flow Conditioning,Addition of Roll Hoop Winglets,The roll hoop introduced at the previous event creates additional freedom in that area. These winglets improve the quality of the airflow reaching the rear of the car.
Racing Bulls / RB,Rear Wing,Performance – Local Load,Updated SM pod geometry and wing auxiliary components,"A combination of changes to the SM pod and to the flaps & auxiliary components allows additional load to be generated by the rear wing, which is well suited to the circuit characteristics."
Racing Bulls / RB,Cooling Louvres,Circuit specific - Cooling Range,Additional options of bodywork cooling louvres,"Opening the louvres on the bodywork allows more airflow through the radiators, increasing engine cooling and thus increasing the range of operating conditions."
Aston Martin,Front Wing,Performance - Local Load,Revised front view and planview with chord redistribution.,"The front wing, endplate and nose are a package to improve the performance of the front end of the car in combination with the other car updates."
Aston Martin,Front Wing Endplate,Performance - Local Load,"Updated body, diveplane and foot.","The front wing, endplate and nose are a package to improve the performance of the front end of the car in combination with the other car updates."
Aston Martin,Nose,Performance - Local Load,"Longer, thinner nose.","The front wing, endplate and nose are a package to improve the performance of the front end of the car in combination with the other car updates."
Aston Martin,Front Corner,Performance - Local Load,Revised lip and longer rear deflector.,"The front wing, endplate and nose are a package to improve the performance of the front end of the car in combination with the other car updates."
Aston Martin,Floor Body,Performance - Local Load,Changes to all of the permitted surfaces of the floor.,All floor changes are developed as a package to increase the load on the floor and therefore improve the car performance.
Aston Martin,Floor Fences,Performance - Local Load,Updated floor leading edge vanes.,All floor changes are developed as a package to increase the load on the floor and therefore improve the car performance.
Aston Martin,Floor Edge,Performance - Local Load,The foot/board and the area in front of the rear tyre have been modified.,All floor changes are developed as a package to increase the load on the floor and therefore improve the car performance.
Aston Martin,Diffuser,Performance - Local Load,"Changes to the main diffuser, fences and winglet.",All floor changes are developed as a package to increase the load on the floor and therefore improve the car performance.
Aston Martin,Sidepod Inlet,Performance - Local Load,Inlet shape revised in line with the bodywork package.,The bodywork package has evolved to improve the feed to the rear of the car and complement the changes to the floor geometry.
Aston Martin,Coke/Engine Cover,Performance - Local Load,Relative subtle changes to the shape of the bodywork,The bodywork package has evolved to improve the feed to the rear of the car and complement the changes to the floor geometry.
