team,component,reason,differences,description
McLaren,Front Wing,Performance - Flow Conditioning,Revised Front Wing Endplate,"The front wing endplate has been modified, resulting in an improvement of aerodynamic flow conditioning and subsequently enhanced aerodynamic overall performance."
Mercedes F1 Team,Rear Wing,Performance - Local Load,Small winglets added on centreline to rear wing.,"These winglets increase the camber of the upper rear wing on centreline, generating downforce and drag at a ratio attractive for this event."
Red Bull Racing,Front Wing,Local load and flow conditioning.,The wing element geometries have been revised where these meet the endplate,"Achieved by modifying existing parts, a new geometry of the elements near the end plate becomes available. Aim being to improve the local load whilst maintaining flow stability."
Red Bull Racing,Front wing,Balance range,Camber increase of the front wing flaps.,"Should the front wing load demand exceed expectations, a more cambered flap assembly has been produced to offer more local load."
Scuderia Ferrari,Front Wing,Performance - Local Load,"Revised front wing footplate with new vanes arrangement and endplate diveplane addition, optimized wing elements spanwise loading distribution. New SM mechanism links and integration in the nose, revised nose shape with raised lower surface","Evolution of the front wing platform raced so far, with enhanced tip flow features coming with front wheel wake control benefits as well as increased aero balance capacity. More integrated SM mechanism links returns tidier centre line flow features. It also comes with flap lips modulation."
Scuderia Ferrari,Front Wing Endplate,Performance - Local Load,"Revised front wing footplate with new vanes arrangement and endplate diveplane addition, optimized wing elements spanwise loading distribution. New SM mechanism links and integration in the nose, revised nose shape with raised lower surface","Evolution of the front wing platform raced so far, with enhanced tip flow features coming with front wheel wake control benefits as well as increased aero balance capacity. More integrated SM mechanism links returns tidier centre line flow features. It also comes with flap lips modulation."
Scuderia Ferrari,Nose,Performance - Local Load,"Revised front wing footplate with new vanes arrangement and endplate diveplane addition, optimized wing elements spanwise loading distribution. New SM mechanism links and integration in the nose, revised nose shape with raised lower surface","Evolution of the front wing platform raced so far, with enhanced tip flow features coming with front wheel wake control benefits as well as increased aero balance capacity. More integrated SM mechanism links returns tidier centre line flow features. It also comes with flap lips modulation."
Scuderia Ferrari,Floor Body,Performance - Local Load,"Reduced keel volume. Redesigned front floor leading edge profiles and claws, front floor board elements optimisation (horizontal and vertical ones). Optimisation of rearward floor corner winglets, reprofiling of diffuser sidewall cutout. Updated diffuser winglet angle of attack and diffuser / tail expansion profile","Benefiting from an improved onset flow quality, this entire floor update is targeting overall aerodynamic load increase across the main car operating window as well as flow features robustness improvements together with improved flow topology and energy towards the rear corners"
Scuderia Ferrari,Floor Board,Performance - Local Load,"Reduced keel volume. Redesigned front floor leading edge profiles and claws, front floor board elements optimisation (horizontal and vertical ones). Optimisation of rearward floor corner winglets, reprofiling of diffuser sidewall cutout. Updated diffuser winglet angle of attack and diffuser / tail expansion profile","Benefiting from an improved onset flow quality, this entire floor update is targeting overall aerodynamic load increase across the main car operating window as well as flow features robustness improvements together with improved flow topology and energy towards the rear corners"
Scuderia Ferrari,Floor Edge,Performance - Local Load,"Reduced keel volume. Redesigned front floor leading edge profiles and claws, front floor board elements optimisation (horizontal and vertical ones). Optimisation of rearward floor corner winglets, reprofiling of diffuser sidewall cutout. Updated diffuser winglet angle of attack and diffuser / tail expansion profile","Benefiting from an improved onset flow quality, this entire floor update is targeting overall aerodynamic load increase across the main car operating window as well as flow features robustness improvements together with improved flow topology and energy towards the rear corners"
Scuderia Ferrari,Diffuser,Performance - Local Load,"Reduced keel volume. Redesigned front floor leading edge profiles and claws, front floor board elements optimisation (horizontal and vertical ones). Optimisation of rearward floor corner winglets, reprofiling of diffuser sidewall cutout. Updated diffuser winglet angle of attack and diffuser / tail expansion profile","Benefiting from an improved onset flow quality, this entire floor update is targeting overall aerodynamic load increase across the main car operating window as well as flow features robustness improvements together with improved flow topology and energy towards the rear corners"
Scuderia Ferrari,Sidepod/Coke,Performance - Flow Conditioning,Inflated sidepod shoulder and adapted cokeline,"Benefiting from an improved onset flow quality, this entire floor update is targeting overall aerodynamic load increase across the main car operating window as well as flow features robustness improvements together with improved flow topology and energy towards the rear corners"
Williams Racing,Rear Wing,Performance – Local Load,SM Fairing Winglets and Third Element local extensions,Different SM fairing geometry with added winglets offering local load for high downforce tracks. Local trailing edge extensions added on the rear wing third element for efficient load increase.
Racing Bulls / RB,Front Wing,Circuit specific - Balance Range,Extra flap gurney options available,Additional front wing load is generated by adding Gurney flaps to the trailing edge. This provides extended balance range for the car for setup optimisation during the weekend.
Racing Bulls / RB,Diffuser / Rear,Performance – Flow Conditioning,Updated diffuser profile & integration with rear crash structure,Provides improved aerodynamic flow conditioning
Aston Martin,None,No updates submitted for this event,None,None
Haas F1 Team,Rear Impact Structure,Rear Impact,Performance – Local Load,Performance –
Audi F1 Team,None,No updates submitted for this event,None,None
Alpine F1 Team,None,No updates submitted for this event,None,None
Cadillac,Cooling Louvres,Performance – Cooling Range,Addition of cooling louvres to upper surface of rear Sidepod,The addition of louvres to the upper surface of the rear sidepod has been implemented to increase the power unit cooling range
Cadillac,Rear Wing,Performance – Drag Reduction,Addition of SLM actuator fairing,"Reintroduction of an SLM mechanism fairing to the updated Rear Wing that was first introduced at the previous event, to re-instate the availability of low drag mode on this wing"
