team,component,reason,differences,description
McLaren,Floor,Performance - Flow Conditioning,Revised floor geometry,"New floor edge geometry, resulting in better flow control around the rear tyres aiming at improved floor and rear corner aerodynamic load."
McLaren,Rear Suspension,Performance - Flow Conditioning,Updated Rear Suspension Fairing,New fairing around the Rear Suspension mounting points resulting in improved flow conditioning around the Rear impact structure aiming at improved diffuser performance.
McLaren,Rear Wing,Performance – Local Load,New Rear Wing,"A new Rear Wing geometry featuring revised mainplane and flap elements, gaining aerodynamic load throughout all conditions while maintaining efficiency."
Mercedes F1 Team,Bodywork,Performance – Local Load,"Compared to the 2026 starting point, the R01 bodywork is more downwash in sideview, with a high inlet.",Down-washing the bodywork pulls high energy flow down onto the rear of the car. The high inlet increases the stream tube to the rear floor.
Mercedes F1 Team,Front Wing,Performance – Local Load,"Compared to the 2026 starting point, the R01 front wing has increased camber and no strake.","Increasing element chamber increases the front wing load, with the spanwise loading chosen to optimise the onset flow to the floor."
Mercedes F1 Team,Rear Wing,Performance – Local Load,"Compared to the 2026 starting point, the R01 rear wing has increased camber.","Increased rear wing camber to increase wing load, with the chord of the elements optimised to find the right balance between SLM closed Cz and SLM open Cx."
Racing Bulls / RB,Front Wing,Performance - Local Load,Revised to comply with 2026 regulations.,"Up to 3 elements for 2026 by regulation, with allowance to attach at either first or second element with those rearward able to move for balance and SM drag reduction. The ORBR design attaches at the first element allowing both flaps to perform the SM/CM change."
Racing Bulls / RB,Nose,Performance - Local Load,Revised to comply with 2026 regulations.,Nose profile revised by regulation and the need for SM actuation of the front wing flap or flaps with concurrent or separate balance adjusters. ORBR design places all the adjustments within the nosebox.
Racing Bulls / RB,Rear Wing,Performance - Local Load,Revised to comply with 2026 regulations.,Mandated to be supported on two pylons intersecting the underside of the mainplane. One or two element flap assembly actuating to engage SM and reduce drag. Chord length of the mainplane is to team design and the endplates have returned to be perpendicular panels at the ends of the elements. ORBR design places the actuator on centreline.
Racing Bulls / RB,Front Wing,Performance - Flow Conditioning,Narrower span / longer chord front wing with SM system integration,"A significant geometrical difference compared to previous generation of cars is the front wing. Design focus has been on optimizing balance range and aerodynamic characteristics around the new 2026 regulations, whilst properly integrating the newly introduced SM system, with a centerline actuator solution retained for us and that rotates the 2 flap elements together"
Racing Bulls / RB,Floor Body / Diffuser,Performance - Flow Conditioning,Reduced floor dimensions and simplified underbody,"The transition between 2025 and 2026 represents a significant shift in underfloor aerodynamic philosophy. By making the floor flatter and with less authority on front vortical structures as well as the removal of complex floor edges, the main development focus has been on understanding how to extract maximum performance across the entire car operating envelope"
Racing Bulls / RB,Rear Wing,Performance – Local load,Three-element active rear wing,"Key aspect for this new era has been on developing a top rear wing solution around a three-element arrangement without relying on interactions with the lower beam wing, which was a dominant factor with the 2025 topology. Given the importance of SM mode in 2026, maximizing SM effect has been a point of focus"
Racing Bulls / RB,Floor Body,Performance – Flow Conditioning,"Updated keel, floor leading edge devices, and rear floor.","The updated forward floor components improve the flow quality under the floor, allowing the floor to generate more downforce."
Racing Bulls / RB,Coke/Engine Cover,Performance – Flow Conditioning,The top deck of the engine cover has been reshaped.,"Airflow to the rear of the car is improved by modifying the flowfield around the bodywork, allowing the rear wing to work more effectively."
Racing Bulls / RB,Cooling Louvres,Circuit specific - Cooling Range,"Additional configurations of cooling louvres, with increased & decreased openings.",Opening or closing the louvres in the bodywork allows the cooling level for the engine to be tuned to the circuit conditions.
Racing Bulls / RB,Rear Corner,Performance - Local Load,The geometry of the winglets on the rear corner has been updated.,"Additional downforce is generated on the rear corner by the winglets around the suspension, at an efficiency suitable for the circuit characteristics."
Aston Martin,Front Wing,Performance - Local Load,Three element narrow front wing. The wing is,The front wing optimises spanwise loading whilst
Aston Martin,Front Wing Endplate,Performance - Flow Conditioning,The front wing endplate includes a diveplane on the,The front wing endplate manages the circulation at
Aston Martin,Nose,Performance - Local Load,The nose is higher and now separated from the front,The volume of the nose is created to guide the
Aston Martin,Sidepod Inlet,Performance - Flow Conditioning,The sidepod inlet is high and predominantly facing,The inlet is sized to capture the massflow required
Aston Martin,Coke/Engine Cover,Performance - Local Load,"The large undercut from the sidepod is continued to the rear of the car. The top deck slopes down towards the rear of the car, with cooling exits more centrally on the engine cover.",The inlet is sized to capture the massflow required
Aston Martin,Diffuser,Performance - Local Load,"The large undercut from the sidepod is continued to the rear of the car. The top deck slopes down towards the rear of the car, with cooling exits more centrally on the engine cover.",The purpose of the diffuser is to manage the expansion of the flow from beneath the floor creating load on the lower surface. The winglet is adapted to the local flowfield to maximise performance.
Aston Martin,Rear Wing,Performance - Local Load,Three element rear wing with the pylons mounted to,In CM the rear wing is optimised to provide
Racing Bulls / RB,Front Wing,Performance - Local Load,The 2026 Technical Regulations introduce a revised layout for the Front Wings,Haas features a three-element wing. The newly introduced SM Adjuster is positioned on the centerline beneath the nose and actuates both flap elements. The geometries have been optimized to deliver high load in Corner Mode and reduced drag in Straight Mode.
Racing Bulls / RB,Front Wing Endplate,Performance - Flow Conditioning,The 2026 Technical Regulations introduce a revised layout for the Front Wing Endplates.,"The endplate is engineered for optimal tyre-wake control, incorporating a high-mounted diveplane and a channelled footplate to enhance local flow conditioning and improve downstream aerodynamic flow."
Racing Bulls / RB,Floor Body,Performance - Local Load,The 2026 Technical Regulations introduce a revised layout for the Floor.,"The 2026 floor architecture features a predominantly flat underbody, with only a limited allowance for front inboard devices and a floorboard as defined by the regulations. Our geometry incorporates a substantial vertical vane to condition and manage the tyre-wake structures, complemented by a series of horizontal aerofoils that promote localised load extraction. This combination enhances vortex stability, preserves floor sealing, and improves the underfloor mass-flow distribution."
Racing Bulls / RB,Floor Edge,Performance - Flow Conditioning,The 2026 Technical Regulations introduce a revised layout for the Floor Edge.,"The floor edge incorporates a multi-slot geometry combined with an upper fence, engineered to mitigate tyre-contact-patch–induced pressure losses and reinforce the robustness of the floor’s"
Haas F1 Team,Diffuser,Performance - Local Load,The 2026 Technical Regulations introduce a revised layout for the diffuser geometry.,"The 2026 diffuser incorporates a single primary fence per side, while the FIA-mandated outboard devices—previously mounted to the rear corner assemblies up to 2025—are now integrated directly into the outboard diffuser structure. The central expansion volume extends laterally alongside the rear impact structure, maximising underfloor mass-flow extraction and enhancing the diffuser’s overall pressure-recovery efficiency."
Haas F1 Team,Rear Wing,Performance - Local Load,The 2026 Technical Regulations allow for a three element upper Rear Wing configuration within a reduced legality volume compared to previous ‑ seasons.,"Haas employs a three-element upper rear-wing assembly, with the SM mechanism providing simultaneous actuation of both flap elements. The mainplane is configured with a relatively low camber, while the flap cluster adopts an aggressive geometry to maximise downforce generation in Corner Mode (CM). In Straight Mode (SM), the system targets a substantial drag reduction by unloading the flap pair and exploiting the flat mainplane to minimise pressure-drag contribution"
Haas F1 Team,Beam Wing,Performance - Local Load,The 2026 Technical Regulations allow only a simplified lower-wing element.,"The 2026 rear-structure geometry is deliberately simplified in compliance with the regulatory constraints. The beam wing is aligned with the incoming flow and functions primarily as a structural and aerodynamic interface, supporting both the floor assembly and the upper rear-wing system."
Alpine F1 Team,Front Wing,Performance - Local Load,Complete new front wing design in accordance with the 2026 regulations,"The front wing has been completely redesigned to tackle the challenge of the new regulations. Its objective remains to produce load in Corner Mode, but also ensure drag is reduced at higher speeds, on the straights when in Straight Mode."
Alpine F1 Team,Coke/Engine Cover,Performance - Flow Conditioning,Complete new bodywork,The bodywork has been designed to accommodate the new ’26 power unit and ensure its cooling. It has also been designed with the objective of delivering high quality flow towards the rear end in all operating conditions.
